"subject" "featAcceleration" "featInstrument" "featJerk" "featMagnitude" "featAxis" "count" "average" "featType" "featOperation" "activityName"
"1" 1 NA "Gyroscope" NA NA "X" 50 -0.850249174586 "Freq" "Mean" "LAYING"
"2" 1 NA "Gyroscope" NA NA "Y" 50 -0.9521914948 "Freq" "Mean" "LAYING"
"3" 1 NA "Gyroscope" NA NA "Z" 50 -0.909302721 "Freq" "Mean" "LAYING"
"4" 1 NA "Gyroscope" NA NA "X" 50 -0.8822964508 "Freq" "SD" "LAYING"
"5" 1 NA "Gyroscope" NA NA "Y" 50 -0.9512320494 "Freq" "SD" "LAYING"
"6" 1 NA "Gyroscope" NA NA "Z" 50 -0.9165825082 "Freq" "SD" "LAYING"
"7" 1 NA "Gyroscope" NA "Magnitude" NA 50 -0.8621901854 "Freq" "Mean" "LAYING"
"8" 1 NA "Gyroscope" NA "Magnitude" NA 50 -0.82431943968 "Freq" "SD" "LAYING"
"9" 1 NA "Gyroscope" "Jerk" "Magnitude" NA 50 -0.9423669466 "Freq" "Mean" "LAYING"
"10" 1 NA "Gyroscope" "Jerk" "Magnitude" NA 50 -0.9326606676 "Freq" "SD" "LAYING"
"11" 1 "Body" "Accelerometer" NA NA "X" 50 -0.9390990524 "Freq" "Mean" "LAYING"
"12" 1 "Body" "Accelerometer" NA NA "Y" 50 -0.86706520518 "Freq" "Mean" "LAYING"
"13" 1 "Body" "Accelerometer" NA NA "Z" 50 -0.8826668762 "Freq" "Mean" "LAYING"
"14" 1 "Body" "Accelerometer" NA NA "X" 50 -0.9244374346 "Freq" "SD" "LAYING"
"15" 1 "Body" "Accelerometer" NA NA "Y" 50 -0.8336255561 "Freq" "SD" "LAYING"
"16" 1 "Body" "Accelerometer" NA NA "Z" 50 -0.81289155944 "Freq" "SD" "LAYING"
"17" 1 "Body" "Accelerometer" NA "Magnitude" NA 50 -0.8617676481 "Freq" "Mean" "LAYING"
"18" 1 "Body" "Accelerometer" NA "Magnitude" NA 50 -0.7983009404 "Freq" "SD" "LAYING"
"19" 1 "Body" "Accelerometer" "Jerk" NA "X" 50 -0.9570738838 "Freq" "Mean" "LAYING"
"20" 1 "Body" "Accelerometer" "Jerk" NA "Y" 50 -0.9224626098 "Freq" "Mean" "LAYING"
"21" 1 "Body" "Accelerometer" "Jerk" NA "Z" 50 -0.9480609042 "Freq" "Mean" "LAYING"
"22" 1 "Body" "Accelerometer" "Jerk" NA "X" 50 -0.9641607086 "Freq" "SD" "LAYING"
"23" 1 "Body" "Accelerometer" "Jerk" NA "Y" 50 -0.9322178704 "Freq" "SD" "LAYING"
"24" 1 "Body" "Accelerometer" "Jerk" NA "Z" 50 -0.9605869872 "Freq" "SD" "LAYING"
"25" 1 "Body" "Accelerometer" "Jerk" "Magnitude" NA 50 -0.9333003608 "Freq" "Mean" "LAYING"
"26" 1 "Body" "Accelerometer" "Jerk" "Magnitude" NA 50 -0.9218039756 "Freq" "SD" "LAYING"
"27" 1 NA "Gyroscope" NA NA "X" 50 -0.016553093978 "Time" "Mean" "LAYING"
"28" 1 NA "Gyroscope" NA NA "Y" 50 -0.064486124088 "Time" "Mean" "LAYING"
"29" 1 NA "Gyroscope" NA NA "Z" 50 0.14868943626 "Time" "Mean" "LAYING"
"30" 1 NA "Gyroscope" NA NA "X" 50 -0.87354386782 "Time" "SD" "LAYING"
"31" 1 NA "Gyroscope" NA NA "Y" 50 -0.9510904402 "Time" "SD" "LAYING"
"32" 1 NA "Gyroscope" NA NA "Z" 50 -0.9082846626 "Time" "SD" "LAYING"
"33" 1 NA "Gyroscope" NA "Magnitude" NA 50 -0.874759548 "Time" "Mean" "LAYING"
"34" 1 NA "Gyroscope" NA "Magnitude" NA 50 -0.81901016976 "Time" "SD" "LAYING"
"35" 1 NA "Gyroscope" "Jerk" NA "X" 50 -0.107270949192 "Time" "Mean" "LAYING"
"36" 1 NA "Gyroscope" "Jerk" NA "Y" 50 -0.04151728689 "Time" "Mean" "LAYING"
"37" 1 NA "Gyroscope" "Jerk" NA "Z" 50 -0.0740501211 "Time" "Mean" "LAYING"
"38" 1 NA "Gyroscope" "Jerk" NA "X" 50 -0.9186085208 "Time" "SD" "LAYING"
"39" 1 NA "Gyroscope" "Jerk" NA "Y" 50 -0.9679072436 "Time" "SD" "LAYING"
"40" 1 NA "Gyroscope" "Jerk" NA "Z" 50 -0.9577901596 "Time" "SD" "LAYING"
"41" 1 NA "Gyroscope" "Jerk" "Magnitude" NA 50 -0.96346103 "Time" "Mean" "LAYING"
"42" 1 NA "Gyroscope" "Jerk" "Magnitude" NA 50 -0.9358409828 "Time" "SD" "LAYING"
"43" 1 "Body" "Accelerometer" NA NA "X" 50 0.22159824394 "Time" "Mean" "LAYING"
"44" 1 "Body" "Accelerometer" NA NA "Y" 50 -0.0405139534294 "Time" "Mean" "LAYING"
"45" 1 "Body" "Accelerometer" NA NA "Z" 50 -0.11320355358 "Time" "Mean" "LAYING"
"46" 1 "Body" "Accelerometer" NA NA "X" 50 -0.9280564692 "Time" "SD" "LAYING"
"47" 1 "Body" "Accelerometer" NA NA "Y" 50 -0.83682740562 "Time" "SD" "LAYING"
"48" 1 "Body" "Accelerometer" NA NA "Z" 50 -0.826061401628 "Time" "SD" "LAYING"
"49" 1 "Body" "Accelerometer" NA "Magnitude" NA 50 -0.8419291525 "Time" "Mean" "LAYING"
"50" 1 "Body" "Accelerometer" NA "Magnitude" NA 50 -0.79514486386 "Time" "SD" "LAYING"
"51" 1 "Body" "Accelerometer" "Jerk" NA "X" 50 0.0810865342 "Time" "Mean" "LAYING"
"52" 1 "Body" "Accelerometer" "Jerk" NA "Y" 50 0.0038382040088 "Time" "Mean" "LAYING"
"53" 1 "Body" "Accelerometer" "Jerk" NA "Z" 50 0.010834236361 "Time" "Mean" "LAYING"
"54" 1 "Body" "Accelerometer" "Jerk" NA "X" 50 -0.958482112 "Time" "SD" "LAYING"
"55" 1 "Body" "Accelerometer" "Jerk" NA "Y" 50 -0.9241492736 "Time" "SD" "LAYING"
"56" 1 "Body" "Accelerometer" "Jerk" NA "Z" 50 -0.9548551108 "Time" "SD" "LAYING"
"57" 1 "Body" "Accelerometer" "Jerk" "Magnitude" NA 50 -0.9543962646 "Time" "Mean" "LAYING"
"58" 1 "Body" "Accelerometer" "Jerk" "Magnitude" NA 50 -0.9282456284 "Time" "SD" "LAYING"
"59" 1 "Gravity" "Accelerometer" NA NA "X" 50 -0.24888179828 "Time" "Mean" "LAYING"
"60" 1 "Gravity" "Accelerometer" NA NA "Y" 50 0.70554977346 "Time" "Mean" "LAYING"
"61" 1 "Gravity" "Accelerometer" NA NA "Z" 50 0.4458177198 "Time" "Mean" "LAYING"
